step,active_clusters,merge_distance,merged_cluster_size,merged_cluster_diameter,global_avg_dist
1,9999,0.20370370370370372,2,0.20370370370370372,2.0372407611131484e-05
2,9998,0.26,2,0.26,4.63796462996303e-05
3,9997,0.2678571428571429,2,0.2678571428571429,7.317803806750491e-05
4,9996,0.27083333333333337,2,0.27083333333333337,0.00010027952980133854
5,9995,0.2777777777777778,2,0.2777777777777778,0.00012808123638538847
6,9994,0.2786885245901639,2,0.2786885245901639,0.00015597963600781688
7,9993,0.2857142857142857,2,0.2857142857142857,0.00018458668747887598
8,9992,0.2941176470588235,2,0.2941176470588235,0.00021404047388262919
9,9991,0.30000000000000004,2,0.30000000000000004,0.0002440889215329027
10,9990,0.30000000000000004,2,0.30000000000000004,0.0002741433848884115
11,9989,0.3035714285714286,2,0.3035714285714286,0.00030456140190275897
12,9988,0.30645161290322576,3,0.40909090909090906,0.00030844793928761557
13,9987,0.31034482758620685,3,0.3220338983050848,0.00031598762962845023
14,9986,0.3157894736842105,3,0.4098360655737705,0.00031997423237242544
15,9985,0.3157894736842105,2,0.3157894736842105,0.0003516326648127442
16,9984,0.3157894736842105,4,0.4098360655737705,0.0003518213195252872
17,9983,0.3157894736842105,3,0.4285714285714286,0.00035882329222888094
18,9982,0.3191489361702128,2,0.3191489361702128,0.0003908316832790153
19,9981,0.3191489361702128,2,0.3191489361702128,0.0004228464881937024
20,9980,0.31999999999999995,2,0.31999999999999995,0.00045495298583781
21,9979,0.3207547169811321,2,0.3207547169811321,0.00048714154881676283
22,9978,0.3207547169811321,2,0.3207547169811321,0.0005193365637025063
23,9977,0.32692307692307687,2,0.32692307692307687,0.0005521562904226406
24,9976,0.3275862068965517,2,0.3275862068965517,0.0005850490694109099
25,9975,0.3275862068965517,3,0.35,0.0005866451398114567
26,9974,0.3278688524590164,5,0.4571428571428572,0.0005612613800504174
27,9973,0.33333333333333337,5,0.5079365079365079,0.0005648707553276673
28,9972,0.33333333333333337,2,0.33333333333333337,0.0005983543297449016
29,9971,0.33333333333333337,2,0.33333333333333337,0.0006318446203539757
30,9970,0.33333333333333337,2,0.33333333333333337,0.0006653416291758098
31,9969,0.33333333333333337,4,0.4354838709677419,0.0006686650720521439
32,9968,0.339622641509434,2,0.339622641509434,0.0007028034455053428
33,9967,0.339622641509434,3,0.3653846153846154,0.0007090612852842989
34,9966,0.3448275862068966,2,0.3448275862068966,0.0007437328332967594
35,9965,0.3448275862068966,2,0.3448275862068966,0.0007784113399741496
36,9964,0.3448275862068966,4,0.46875,0.0007814736842378627
37,9963,0.34545454545454546,4,0.4915254237288136,0.0007865797932238804
38,9962,0.34545454545454546,3,0.4576271186440678,0.0007908023763885534
39,9961,0.34615384615384615,2,0.34615384615384615,0.0008256326794234128
40,9960,0.34615384615384615,2,0.34615384615384615,0.0008604699764950262
41,9959,0.34782608695652173,2,0.34782608695652173,0.0008954821822318488
42,9958,0.34782608695652173,2,0.34782608695652173,0.0009305014199441158
43,9957,0.34782608695652173,2,0.34782608695652173,0.0009655276917505299
44,9956,0.3492063492063492,2,0.3492063492063492,0.0010006996359950156
45,9955,0.3492063492063492,2,0.3492063492063492,0.0010358786464261904
46,9954,0.3508771929824561,4,0.578125,0.0010404973339318213
47,9953,0.3508771929824561,3,0.4516129032258065,0.0010443808000826053
48,9952,0.35185185185185186,2,0.35185185185185186,0.0010798406305339654
49,9951,0.35185185185185186,3,0.4915254237288136,0.0010867617707032036
50,9950,0.35416666666666663,2,0.35416666666666663,0.001122465632857713
51,9949,0.35416666666666663,3,0.43137254901960786,0.0011275116589321737
52,9948,0.3548387096774194,3,0.4307692307692308,0.0011305467003814012
53,9947,0.35593220338983056,2,0.35593220338983056,0.0011664432269814025
54,9946,0.3571428571428571,2,0.3571428571428571,0.0012024686945432202
55,9945,0.3571428571428571,3,0.5510204081632653,0.0012097124853083184
56,9944,0.3584905660377359,2,0.3584905660377359,0.0012458850796891554
57,9943,0.3584905660377359,2,0.3584905660377359,0.0012820649500620233
58,9942,0.3584905660377359,3,0.5245901639344263,0.0012902932572725137
59,9941,0.359375,6,0.47887323943661975,0.001292102052335144
60,9940,0.36,2,0.36,0.001328449346304192
61,9939,0.36,2,0.36,0.0013648039543478888
62,9938,0.36170212765957444,4,0.5,0.0013692515762625795
63,9937,0.36170212765957444,4,0.5510204081632653,0.0013713206488719966
64,9936,0.3620689655172413,6,0.53125,0.0013730569111962488
65,9935,0.3620689655172413,7,0.5522388059701493,0.001375143481443094
66,9934,0.3620689655172413,2,0.3620689655172413,0.001411729359135734
67,9933,0.3620689655172413,2,0.3620689655172413,0.0014483226033596723
