step,active_clusters,merge_distance,merged_cluster_size,merged_cluster_diameter,global_avg_dist
93,9907,0.37254901960784315,2,0.37254901960784315,0.0021843195959329507
94,9906,0.37254901960784315,3,0.4181818181818182,0.0021869201678616627
95,9905,0.3728813559322034,2,0.3728813559322034,0.002224786727790998
96,9904,0.3728813559322034,2,0.3728813559322034,0.002262660934440836
97,9903,0.3728813559322034,4,0.53125,0.0022660895751298025
98,9902,0.3728813559322034,6,0.5373134328358209,0.002234074545244625
99,9901,0.3728813559322034,11,0.647887323943662,0.0021969710177854123
100,9900,0.375,2,0.375,0.002235071721928623
101,9899,0.375,7,0.6119402985074627,0.00223610778092134
102,9898,0.375,2,0.375,0.002274220137738972
103,9897,0.375,2,0.375,0.0023123401963565065
104,9896,0.375,2,0.375,0.0023504679591087657
105,9895,0.375,3,0.375,0.0023510174171898364
106,9894,0.375,8,0.5555555555555556,0.0023183849564171904
107,9893,0.3770491803278688,2,0.3770491803278688,0.0023567320265965377
108,9892,0.3770491803278688,5,0.5151515151515151,0.0023598531237685773
109,9891,0.37735849056603776,2,0.37735849056603776,0.002398243412282358
110,9890,0.37735849056603776,2,0.37735849056603776,0.0024366414642518546
111,9889,0.37735849056603776,2,0.37735849056603776,0.002475047282032246
112,9888,0.37735849056603776,2,0.37735849056603776,0.002513460867979664
113,9887,0.37735849056603776,2,0.37735849056603776,0.0025518822244511943
114,9886,0.37735849056603776,5,0.609375,0.0025571092501463747
115,9885,0.37777777777777777,6,0.607843137254902,0.0025595947268882706
116,9884,0.3793103448275862,7,0.5857142857142856,0.002526935321548927
