N,rmse,baseline_runtime_seconds,indexed_runtime_seconds
5,0.9595630868049815,3.8149505000037607,2.831517900020117
10,0.9532226063002619,3.8149505000037607,2.831517900020117
15,0.9535621713329593,3.8149505000037607,2.831517900020117
20,0.9535666978979357,3.8149505000037607,2.831517900020117
25,0.9535666978979357,3.8149505000037607,2.831517900020117
